text,label
"I'm terrified of losing money in stocks.",Fear
"The market crash has me stressed out.",Stress
"This crypto boom is so exciting!",Excitement
"I feel confident investing in bonds.",Confidence
"Should I really buy now? I'm hesitant.",Hesitation
"I'm sure I'll make a fortune in options.",Overconfidence
"Everything seems calm in my portfolio.",Calm
"Another dip? This is nerve-wracking.",Fear
"Deadlines and bills are overwhelming.",Stress
"Winning that trade felt amazing!",Excitement
"Blue-chip stocks give me peace of mind.",Confidence
"Bitcoin at $100k? Maybe, but unsure.",Hesitation
"I'll bet the farm on this meme stock.",Overconfidence
"Steady growth, no drama here.",Calm
"I'm scared of inflation eating my savings.",Fear
"Work stress is making me overspend.",Stress
"IPO launch got me pumped!",Excitement
"Long-term planning feels secure.",Confidence
"Not sure about diversifying yet.",Hesitation
"Day trading will make me rich quick.",Overconfidence
"Market's stable today.",Calm
"I keep spending money and end up regretting it later.",Stress
"I have no control over my spending habits.",Stress
"I regret buying that expensive item.",Stress
"I wish I hadn't spent so much this month.",Stress
"I'm stressed about my financial situation.",Stress
"I can't control how much I spend.",Stress
"I keep overspending and feeling guilty.",Stress
"I'm overwhelmed by my debts.",Stress
"I regret my financial decisions.",Stress
"I feel anxious about money all the time.",Stress
"I'm afraid the market will crash tomorrow.",Fear
"Losing my savings keeps me up at night.",Fear
"I'm worried about retirement funds.",Fear
"The volatility scares me away from investing.",Fear
"Panic selling during crashes is my biggest fear.",Fear
"I'm terrified of making wrong investment choices.",Fear
"Market uncertainty makes me anxious.",Fear
"I fear losing everything I've worked for.",Fear
"Financial insecurity haunts me daily.",Fear
"I'm scared to invest because of past losses.",Fear
"Bills piling up is so stressful.",Stress
"Financial pressure is crushing me.",Stress
"I'm drowning in credit card debt.",Stress
"Money problems are affecting my sleep.",Stress
"I can't stop worrying about finances.",Stress
"Budgeting feels impossible right now.",Stress
"Every expense feels like a burden.",Stress
"I'm constantly stressed about money.",Stress
"Financial anxiety is overwhelming.",Stress
"Managing money feels too difficult.",Stress
"This investment opportunity is thrilling!",Excitement
"I'm pumped about crypto gains!",Excitement
"Stock market gains got me excited!",Excitement
"Making profits feels amazing!",Excitement
"I'm thrilled about my portfolio growth!",Excitement
"Investment returns are exciting!",Excitement
"This trade opportunity is awesome!",Excitement
"I'm excited to start investing!",Excitement
"Financial success feels incredible!",Excitement
"Winning in markets is exhilarating!",Excitement
"I trust my investment strategy.",Confidence
"Bonds provide stable returns I can rely on.",Confidence
"I'm confident in my financial plan.",Confidence
"My portfolio strategy feels solid.",Confidence
"I believe in long-term investing.",Confidence
"Financial planning gives me confidence.",Confidence
"I'm sure about my investment choices.",Confidence
"Steady returns build my confidence.",Confidence
"I feel secure about my financial future.",Confidence
"My investment approach is reliable.",Confidence
"Maybe I should wait before investing.",Hesitation
"I'm uncertain about this decision.",Hesitation
"Not sure if this is the right time.",Hesitation
"I doubt this investment will work.",Hesitation
"Unsure about market direction.",Hesitation
"Maybe I should research more first.",Hesitation
"I'm hesitant to commit to this.",Hesitation
"Doubts about this financial move.",Hesitation
"Uncertain if I should invest now.",Hesitation
"Maybe I'll wait and see first.",Hesitation
"I'm guaranteed to make huge profits.",Overconfidence
"This investment can't possibly fail.",Overconfidence
"I'll definitely become rich from this.",Overconfidence
"Markets always go up for me.",Overconfidence
"I know exactly what will happen.",Overconfidence
"This is a surefire way to wealth.",Overconfidence
"I can't lose with this strategy.",Overconfidence
"Success is guaranteed in my plan.",Overconfidence
"I'm certain I'll beat the market.",Overconfidence
"This will definitely make me rich.",Overconfidence
"My finances are stable and peaceful.",Calm
"Steady investments keep me relaxed.",Calm
"Financial planning brings me peace.",Calm
"I feel calm about my money situation.",Calm
"Balanced approach keeps me at ease.",Calm
"No financial stress in my life.",Calm
"Steady growth feels reassuring.",Calm
"I'm content with my financial progress.",Calm
"Peaceful approach to money management.",Calm
"Calm and steady financial journey.",Calm
"The stock market crash has me terrified.",Fear
"Watching live market data is so stressful.",Stress
"Technical analysis showing bullish patterns excites me!",Excitement
"I'm confident in my stock picking strategy.",Confidence
"Not sure if I should buy this stock now.",Hesitation
"I'm guaranteed to beat the market with this strategy.",Overconfidence
"Portfolio analysis shows steady growth, feeling calm.",Calm
"Market volatility is making me panic.",Fear
"Fintech platforms are overwhelming me with data.",Stress
"Live market analysis got me pumped!",Excitement
"I trust my algorithmic trading system.",Confidence
"Maybe I should wait before entering this trade.",Hesitation
"This fintech tool will definitely make me rich.",Overconfidence
"Steady portfolio performance keeps me relaxed.",Calm
"Stock market correction has me scared.",Fear
"Real-time market data is stressing me out.",Stress
"Crypto gains are so exciting!",Excitement
"I'm confident in my technical analysis skills.",Confidence
"Unsure about this market trend.",Hesitation
"I'll definitely profit from this market move.",Overconfidence
"Balanced portfolio brings me peace.",Calm
"Market crash fears keep me awake.",Fear
"Fintech app notifications are overwhelming.",Stress
"Stock market rally is thrilling!",Excitement
"I feel secure about my investment strategy.",Confidence
"Maybe I should research more before trading.",Hesitation
"This trading strategy can't fail.",Overconfidence
"Systematic investing keeps me calm.",Calm
"Options trading volatility terrifies me.",Fear
"Live market watching is too stressful.",Stress
"Fintech innovation excites me!",Excitement
"I'm confident using robo-advisors.",Confidence
"Hesitant about algorithmic trading.",Hesitation
"I'm sure I'll beat all market indices.",Overconfidence
"Automated investing brings me peace.",Calm